Title,Abstract,Year of publication,DOI,Clinical Application,is_CT
Chest computed tomography in the diagnosis of COVID-19 in patients with false negative RT-PCR,"OBJECTIVE: To evaluate the role of chest computed tomography in patients with COVID-19 who presented initial negative result in reverse transcriptase-polymerase chain reaction (RT-PCR). METHODS: A single-center, retrospective study that evaluated 39 patients with negative RT-PCR for COVID-19, who underwent chest computed tomography and had a final clinical or serological diagnosis of COVID-19. The visual tomographic classification was evaluated according to the Consensus of the Radiological Society of North America and software developed with artificial intelligence for automatic detection of findings and chance estimation of COVID-19. RESULTS: In the visual tomographic analysis, only one of them (3%) presented computed tomography classified as negative, 69% were classified as typical and 28% as indeterminate. In the evaluation using the software, only four (about 10%) had a probability of COVID-19 <25%. CONCLUSION: Computed tomography can play an important role in management of suspected cases of COVID-19 with initial negative results in RT-PCR, especially considering those patients outside the ideal window for sample collection for RT-PCR.",2021,10.31744/einstein_journal/2021AO6363,diagnosis,True
Chest CT Evaluation of 11 Persistent Asymptomatic Patients with SARS-CoV-2 Infection,"In total, 11 asymptomatic carriers who underwent nasal or oropharyngeal swab tests for SARS-CoV-2 after being in close contact with patients who developed symptomatic 2019 coronavirus disease (COVID-19) were enrolled in this study. The chest multidetector computed tomography (CT) images of the enrolled patients were qualitatively and quantitatively analyzed. The findings of the first chest CT were normal in 3 (27.3%) patients, 2 of whom were aged below 15 years. The lesions of 2 (18.2%) patients involved 1 lobe with unifocal presence. Subpleural lesions were observed in 7 (63.6%) patients. Ground glass opacity (GGO) was the most common sign observed in 7 (63.6%) patients. Crazy-paving pattern and consolidation were detected in 2 (18.2%) and 4 (36.4%) patients, respectively. Based on deep learning and quantitative analysis, the mean volume of intrapulmonary lesions in the first CT image was 85.73 ± 84.46 cm(3). In patients with positive findings on CT images, the average interval between positive real-time reverse transcriptase polymerase chain reaction assay and peak volume on CT images was 5.1 ± 3.1 days. In conclusion, typical CT findings can be detected in over 70% of asymptomatic SARS-CoV-2 carriers. The initial presentation is typically GGO along the subpleural regions and bronchi, which absorbs in approximately 5 days.",2021,10.7883/yoken.JJID.2020.264,diagnosis,True
Chest CT for triage during COVID-19 on the emergency department: myth or truth?,"PURPOSE: We aimed to investigate the diagnostic performance of chest CT compared with first RT-PCR results in adult patients suspected of COVID-19 infection in an ED setting. We also constructed a predictive machine learning model based on chest CT and additional data to improve the diagnostic accuracy of chest CT. METHODS: This study's cohort consisted of 319 patients who underwent chest CT and RT-PCR testing at the ED. Patient characteristics, demographics, symptoms, vital signs, laboratory tests, and chest CT results (CO-RADS) were collected. With first RT-PCR as reference standard, the diagnostic performance of chest CT using the CO-RADS score was assessed. Additionally, a predictive machine learning model was constructed using logistic regression. RESULTS: Chest CT, with first RT-PCR as a reference, had a sensitivity, specificity, PPV, and NPV of 90.2%, 88.2%, 84.5%, and 92.7%, respectively. The prediction model with CO-RADS, ferritin, leucocyte count, CK, days of complaints, and diarrhea as predictors had a sensitivity, specificity, PPV, and NPV of 89.3%, 93.4%, 90.8%, and 92.3%, respectively. CONCLUSION: Chest CT, using the CO-RADS scoring system, is a sensitive and specific method that can aid in the diagnosis of COVID-19, especially if RT-PCR tests are scarce during an outbreak. Combining a predictive machine learning model could further improve the accuracy of diagnostic chest CT for COVID-19. Further candidate predictors should be analyzed to improve our model. However, RT-PCR should remain the primary standard of testing as up to 9% of RT-PCR positive patients are not diagnosed by chest CT or our machine learning model.",2020,10.1007/s10140-020-01821-1,diagnosis,True
Chest Radiographs in Congestive Heart Failure: Visualizing Neural Network Learning,"Purpose To examine Generative Visual Rationales (GVRs) as a tool for visualizing neural network learning of chest radiograph features in congestive heart failure (CHF). Materials and Methods A total of 103 489 frontal chest radiographs in 46 712 patients acquired from January 1, 2007, to December 31, 2016, were divided into a labeled data set (with B-type natriuretic peptide [BNP] result as a marker of CHF) and unlabeled data set (without BNP result). A generative model was trained on the unlabeled data set, and a neural network was trained on the encoded representations of the labeled data set to estimate BNP. The model was used to visualize how a radiograph with high estimated BNP would look without disease (a ""healthy"" radiograph). An overfitted model was developed for comparison, and 100 GVRs were blindly assessed by two experts for features of CHF. Area under the receiver operating characteristic curve (AUC), κ coefficient, and mixed-effects logistic regression were used for statistical analyses. Results At a cutoff BNP of 100 ng/L as a marker of CHF, the correctly trained model achieved an AUC of 0.82. Assessment of GVRs revealed that the correctly trained model highlighted conventional radiographic features of CHF as reasons for an elevated BNP prediction more frequently than the overfitted model, including cardiomegaly (153 [76.5%] of 200 vs 64 [32%] of 200, respectively; P < .001) and pleural effusions (47 [23.5%] of 200 vs 16 [8%] of 200, respectively; P = .003). Conclusion Features of congestive heart failure on chest radiographs learned by neural networks can be identified using Generative Visual Rationales, enabling detection of bias and overfitted models. © RSNA, 2018 See also the editorial by Ngo in this issue.",2019,10.1148/radiol.2018180887,combined,False
Chest X-ray Classification for the Detection of COVID-19 Using Deep Learning Techniques,"Recent technological developments pave the path for deep learning-based techniques to be used in almost every domain of life. The precision of deep learning techniques make it possible for these to be used in the medical field for the classification and detection of various diseases. Recently, the coronavirus (COVID-19) pandemic has put a lot of pressure on the health system all around the world. The diagnosis of COVID-19 is possible by PCR testing and medical imagining. Since COVID-19 is highly contagious, diagnosis using chest X-ray is considered safe in various situations. In this study, a deep learning-based technique is proposed to classify COVID-19 infection from other non-COVID-19 infections. To classify COVID-19, three different pre-trained models named EfficientNetB1, NasNetMobile and MobileNetV2 are used. The augmented dataset is used for training deep learning models while two different training strategies have been used for classification. In this study, not only are the deep learning model fine-tuned but also the hyperparameters are fine-tuned, which significantly improves the performance of the fine-tuned deep learning models. Moreover, the classification head is regularized to improve the performance. For the evaluation of the proposed techniques, several performance parameters are used to gauge the performance. EfficientNetB1 with regularized classification head outperforms the other models. The proposed technique successfully classifies four classes that include COVID-19, viral pneumonia, lung opacity, and normal, with an accuracy of 96.13%. The proposed technique shows superiority in terms of accuracy when compared with recent techniques present in the literature.",2022,10.3390/s22031211,diagnosis,False
Chest X-ray image phase features for improved diagnosis of COVID-19 using convolutional neural network,"PURPOSE: Recently, the outbreak of the novel coronavirus disease 2019 (COVID-19) pandemic has seriously endangered human health and life. In fighting against COVID-19, effective diagnosis of infected patient is critical for preventing the spread of diseases. Due to limited availability of test kits, the need for auxiliary diagnostic approach has increased. Recent research has shown radiography of COVID-19 patient, such as CT and X-ray, contains salient information about the COVID-19 virus and could be used as an alternative diagnosis method. Chest X-ray (CXR) due to its faster imaging time, wide availability, low cost, and portability gains much attention and becomes very promising. In order to reduce intra- and inter-observer variability, during radiological assessment, computer-aided diagnostic tools have been used in order to supplement medical decision making and subsequent management. Computational methods with high accuracy and robustness are required for rapid triaging of patients and aiding radiologist in the interpretation of the collected data. METHOD: In this study, we design a novel multi-feature convolutional neural network (CNN) architecture for multi-class improved classification of COVID-19 from CXR images. CXR images are enhanced using a local phase-based image enhancement method. The enhanced images, together with the original CXR data, are used as an input to our proposed CNN architecture. Using ablation studies, we show the effectiveness of the enhanced images in improving the diagnostic accuracy. We provide quantitative evaluation on two datasets and qualitative results for visual inspection. Quantitative evaluation is performed on data consisting of 8851 normal (healthy), 6045 pneumonia, and 3323 COVID-19 CXR scans. RESULTS: In Dataset-1, our model achieves 95.57% average accuracy for a three classes classification, 99% precision, recall, and F1-scores for COVID-19 cases. For Dataset-2, we have obtained 94.44% average accuracy, and 95% precision, recall, and F1-scores for detection of COVID-19. CONCLUSIONS: Our proposed multi-feature-guided CNN achieves improved results compared to single-feature CNN proving the importance of the local phase-based CXR image enhancement. Future work will involve further evaluation of the proposed method on a larger-size COVID-19 dataset as they become available.",2021,10.1007/s11548-020-02305-w,diagnosis,False
Choquet Integral and Coalition Game-Based Ensemble of Deep Learning Models for COVID-19 Screening From Chest X-Ray Images,"Under the present circumstances, when we are still under the threat of different strains of coronavirus, and since the most widely used method for COVID-19 detection, RT-PCR is a tedious and time-consuming manual procedure with poor precision, the application of Artificial Intelligence (AI) and Computer-Aided Diagnosis (CAD) is inevitable. Though, some vaccines have now been authorized worldwide, it will take huge time to reach everyone, especially in developing countries. In this work, we have analyzed Chest X-ray (CXR) images for the detection of the coronavirus. The primary agenda of this proposed research study is to leverage the classification performance of the deep learning models using ensemble learning. Many papers have proposed different ensemble learning techniques in this field, some methods using aggregation functions like Weighted Arithmetic Mean (WAM) among others. However, none of these methods take into consideration the decisions that subsets of the classifiers take. In this paper, we have applied Choquet integral for ensemble and propose a novel method for the evaluation of fuzzy measures using coalition game theory, information theory, and Lambda fuzzy approximation. Three different sets of fuzzy measures are calculated using three different weighting schemes along with information theory and coalition game theory. Using these three sets of fuzzy measures, three Choquet integrals are calculated and their decisions are finally combined. Besides, we have created a database by combining several image repositories developed recently. Impressive results on the newly developed dataset and the challenging COVIDx dataset support the efficacy and robustness of the proposed method. Our experimental results outperform many recently proposed methods.",2021,10.1109/jbhi.2021.3111415,diagnosis,False
Chronic Obstructive Pulmonary Disease Quantification Using CT Texture Analysis and Densitometry: Results From the Danish Lung Cancer Screening Trial,"OBJECTIVE. The purpose of this study is to establish whether texture analysis and densitometry are complementary quantitative measures of chronic obstructive pulmonary disease (COPD) in a lung cancer screening setting. MATERIALS AND METHODS. This was a retrospective study of data collected prospectively (in 2004-2010) in the Danish Lung Cancer Screening Trial. The texture score, relative area of emphysema, and percentile density were computed for 1915 baseline low-dose lung CT scans and were evaluated, both individually and in combination, for associations with lung function (i.e., forced expiratory volume in 1 second as a percentage of predicted normal [FEV(1)% predicted]), diagnosis of mild to severe COPD, and prediction of a rapid decline in lung function. Multivariate linear regression models with lung function as the outcome were compared using the likelihood ratio test or the Vuong test, and AUC values for diagnostic and prognostic capabilities were compared using the DeLong test. RESULTS. Texture showed a significantly stronger association with lung function (p < 0.001 vs densitometric measures), a significantly higher diagnostic AUC value (for COPD, 0.696; for Global Initiative for Chronic Obstructive Lung Disease (GOLD) grade 1, 0.648; for GOLD grade 2, 0.768; and for GOLD grade 3, 0.944; p < 0.001 vs densitometric measures), and a higher but not significantly different association with lung function decline. In addition, only texture could predict a rapid decline in lung function (AUC value, 0.538; p < 0.05 vs random guessing). The combination of texture and both densitometric measures strengthened the association with lung function and decline in lung function (p < 0.001 and p < 0.05, respectively, vs texture) but did not improve diagnostic or prognostic performance. CONCLUSION. The present study highlights texture as a promising quantitative CT measure of COPD to use alongside, or even instead of, densitometric measures. Moreover, texture may allow early detection of COPD in subjects who undergo lung cancer screening.",2020,10.2214/ajr.19.22300,diagnosis,True
Chronic Obstructive Pulmonary Disease: Thoracic CT Texture Analysis and Machine Learning to Predict Pulmonary Ventilation,"Background Fixed airflow limitation and ventilation heterogeneity are common in chronic obstructive pulmonary disease (COPD). Conventional noncontrast CT provides airway and parenchymal measurements but cannot be used to directly determine lung function. Purpose To develop, train, and test a CT texture analysis and machine-learning algorithm to predict lung ventilation heterogeneity in participants with COPD. Materials and Methods In this prospective study (ClinicalTrials.gov: NCT02723474; conducted from January 2010 to February 2017), participants were randomized to optimization (n = 1), training (n = 67), and testing (n = 27) data sets. Hyperpolarized (HP) helium 3 ((3)He) MRI ventilation maps were co-registered with thoracic CT to provide ground truth labels, and 87 quantitative imaging features were extracted and normalized to lung averages to generate 174 features. The volume-of-interest dimension and the training data sampling method were optimized to maximize the area under the receiver operating characteristic curve (AUC). Forward feature selection was performed to reduce the number of features; logistic regression, linear support vector machine, and quadratic support vector machine classifiers were trained through fivefold cross validation. The highest-performing classification model was applied to the test data set. Pearson coefficients were used to determine the relationships between the model, MRI, and pulmonary function measurements. Results The quadratic support vector machine performed best in training and was applied to the test data set. Model-predicted ventilation maps had an accuracy of 88% (95% confidence interval [CI]: 88%, 88%) and an AUC of 0.82 (95% CI: 0.82, 0.83) when the HP (3)He MRI ventilation maps were used as the reference standard. Model-predicted ventilation defect percentage (VDP) was correlated with VDP at HP (3)He MRI (r = 0.90, P < .001). Both model-predicted and HP (3)He MRI VDP were correlated with forced expiratory volume in 1 second (FEV(1)) (model: r = -0.65, P < .001; MRI: r = -0.70, P < .001), ratio of FEV(1) to forced vital capacity (model: r = -0.73, P < .001; MRI: r = -0.75, P < .001), diffusing capacity (model: r = -0.69, P < .001; MRI: r = -0.65, P < .001), and quality-of-life score (model: r = 0.59, P = .001; MRI: r = 0.65, P < .001). Conclusion Model-predicted ventilation maps generated by using CT textures and machine learning were correlated with MRI ventilation maps (r = 0.90, P < .001). © RSNA, 2019 Online supplemental material is available for this article. See also the editorial by Fain in this issue.",2019,10.1148/radiol.2019190450,combined,True
Classification and Quantification of Emphysema Using a Multi-Scale Residual Network,"Automated tissue classification is an essential step for quantitative analysis and treatment of emphysema. Although many studies have been conducted in this area, there still remain two major challenges. First, different emphysematous tissue appears in different scales, which we call ""inter-class variations."" Second, the intensities of CT images acquired from different patients, scanners or scanning protocols may vary, which we call ""intra-class variations"". In this paper, we present a novel multi-scale residual network with two channels of raw CT image and its differential excitation component. We incorporate multi-scale information into our networks to address the challenge of inter-class variations. In addition to the conventional raw CT image, we use its differential excitation component as a pair of inputs to handle intra-class variations. Experimental results show that our approach has superior performance over the state-of-the- art methods, achieving a classification accuracy of 93.74% on our original emphysema database. Based on the classification results, we also perform the quantitative analysis of emphysema in 50 subjects by correlating the quantitative results (the area percentage of each class) with pulmonary functions. We show that centrilobular emphysema (CLE) and panlobular emphysema (PLE) have strong correlation with the pulmonary functions and the sum of CLE and PLE can be used as a new and accurate measure of emphysema severity instead of the conventional measure (sum of all subtypes of emphysema). The correlations between the new measure and various pulmonary functions are up to |r| = 0.922 (r is correlation coefficient).",2019,10.1109/jbhi.2018.2890045,diagnosis,True
Classification and Segmentation Algorithm in Benign and Malignant Pulmonary Nodules under Different CT Reconstruction,"METHODS: The imaging data of 55 patients with chest CT plain scan in the Xuancheng People's Hospital were collected retrospectively. The data of each patient included lung window reconstruction, mediastinum reconstruction, and bone window reconstruction. The depth neural network and 3D convolution neural network were used to construct the model and train the classification and segmentation algorithm. The pathological results were the gold standard for benign and malignant pulmonary nodules. The classification and segmentation algorithms under three CT reconstruction algorithms were compared and analyzed by analysis of variance. RESULTS: Under the three CT reconstruction algorithms, the classification accuracy of pulmonary nodule density types was 98.2%, 96.4%, and 94.5%, respectively. The Dice coefficients of all nodule segmentation were 80.32% ± 5.91%, 79.83% ± 6.12%, and 80.17% ± 5.89%, respectively. The diagnostic accuracy between benign and malignant pulmonary nodules under different reconstruction algorithms was 98.2%, 96.4%, and 94.5%, respectively. There was no significant difference in the classification accuracy, Dice coefficients, and diagnostic accuracy of pulmonary nodules under three different reconstruction algorithms (all P > 0.05). CONCLUSION: The depth neural network algorithm combined with 3D convolution neural network has a good efficiency in identifying benign and malignant pulmonary nodules under different CT reconstruction classification and segmentation algorithms.",2022,10.1155/2022/3490463,diagnosis,True
Classification by a stacking model using CNN features for COVID-19 infection diagnosis,"Affecting millions of people all over the world, the COVID-19 pandemic has caused the death of hundreds of thousands of people since its beginning. Examinations also found that even if the COVID-19 patients initially survived the coronavirus, pneumonia left behind by the virus may still cause severe diseases resulting in organ failure and therefore death in the future. The aim of this study is to classify COVID-19, normal and viral pneumonia using the chest X-ray images with machine learning methods. A total of 3486 chest X-ray images from three classes were first classified by three single machine learning models including the support vector machine (SVM), logistics regression (LR), artificial neural network (ANN) models, and then by a stacking model that was created by combining these 3 single models. Several performance evaluation indices including recall, precision, F-1 score, and accuracy were computed to evaluate and compare classification performance of 3 single four models and the final stacking model used in the study. As a result of the evaluations, the models namely, SVM, ANN, LR, and stacking, achieved 90.2%, 96.2%, 96.7%, and 96.9%classification accuracy, respectively. The study results indicate that the proposed stacking model is a fast and inexpensive method for assisting COVID-19 diagnosis, which can have potential to assist physicians and nurses to better and more efficiently diagnose COVID-19 infection cases in the busy clinical environment.",2022,10.3233/xst-211031,diagnosis,False
Classification of Benign and Malignant Lung Nodules Based on Deep Convolutional Network Feature Extraction,"With the rapid development of detection technology, CT imaging technology has been widely used in the early clinical diagnosis of lung nodules. However, accurate assessment of the nature of the nodule remains a challenging task due to the subjective nature of the radiologist. With the increasing amount of publicly available lung image data, it has become possible to use convolutional neural networks for benign and malignant classification of lung nodules. However, as the network depth increases, network training methods based on gradient descent usually lead to gradient dispersion. Therefore, we propose a novel deep convolutional network approach to classify the benignity and malignancy of lung nodules. Firstly, we segmented, extracted, and performed zero-phase component analysis whitening on images of lung nodules. Then, a multilayer perceptron was introduced into the structure to construct a deep convolutional network. Finally, the minibatch stochastic gradient descent method with a momentum coefficient is used to fine-tune the deep convolutional network to avoid the gradient dispersion. The 750 lung nodules in the lung image database are used for experimental verification. Classification accuracy of the proposed method can reach 96.0%. The experimental results show that the proposed method can provide an objective and efficient aid to solve the problem of classifying benign and malignant lung nodules in medical images.",2021,10.1155/2021/8769652,diagnosis,True
Classification of benign and malignant lung nodules from CT images based on hybrid features,"The classification of benign and malignant lung nodules has great significance for the early detection of lung cancer, since early diagnosis of nodules can greatly increase patient survival. In this paper, we propose a novel classification method for lung nodules based on hybrid features from computed tomography (CT) images. The method fused 3D deep dual path network (DPN) features, local binary pattern (LBP)-based texture features and histogram of oriented gradients (HOG)-based shape features to characterize lung nodules. DPN is a convolutional neural network which integrates the advantages of aggregated residual transformations (ResNeXt) for feature reuse and a densely convolutional network (DenseNet) for exploring new features. LBP is a prominent feature descriptor for texture classification, when combining with the HOG descriptor, it can improve the classification performance considerably. To differentiate malignant nodules from benign ones, a gradient boosting machine (GBM) algorithm is employed. We evaluated the proposed method on the publicly available LUng Nodule Analysis 2016 (LUNA16) dataset with 1004 nodules, achieving an area under the receiver operating characteristic curve (AUC) of 0.9687 and accuracy of 93.78%. The promising results demonstrate that our method has strong robustness on the classification of nodule patterns by virtue of the joint use of texture features, shape features and 3D deep DPN features. The method has the potential to help radiologists to interpret diagnostic data and make decisions in clinical practice.",2019,10.1088/1361-6560/ab2544,diagnosis,True
Classification of COVID-19 and Influenza Patients Using Deep Learning,"Coronavirus (COVID-19) is a deadly virus that initially starts with flu-like symptoms. COVID-19 emerged in China and quickly spread around the globe, resulting in the coronavirus epidemic of 2019-22. As this virus is very similar to influenza in its early stages, its accurate detection is challenging. Several techniques for detecting the virus in its early stages are being developed. Deep learning techniques are a handy tool for detecting various diseases. For the classification of COVID-19 and influenza, we proposed tailored deep learning models. A publicly available dataset of X-ray images was used to develop proposed models. According to test results, deep learning models can accurately diagnose normal, influenza, and COVID-19 cases. Our proposed long short-term memory (LSTM) technique outperformed the CNN model in the evaluation phase on chest X-ray images, achieving 98% accuracy.",2022,10.1155/2022/8549707,diagnosis,True
Classification of COVID-19 by Compressed Chest CT Image through Deep Learning on a Large Patients Cohort,"Corona Virus Disease (COVID-19) has spread globally quickly, and has resulted in a large number of causalities and medical resources insufficiency in many countries. Reverse-transcriptase polymerase chain reaction (RT-PCR) testing is adopted as biopsy tool for confirmation of virus infection. However, its accuracy is as low as 60-70%, which is inefficient to uncover the infected. In comparison, the chest CT has been considered as the prior choice in diagnosis and monitoring progress of COVID-19 infection. Although the COVID-19 diagnostic systems based on artificial intelligence have been developed for assisting doctors in diagnosis, the small sample size and the excessive time consumption limit their applications. To this end, this paper proposed a diagnosis prototype system for COVID-19 infection testing. The proposed deep learning model is trained and is tested on 2267 CT sequences from 1357 patients clinically confirmed with COVID-19 and 1235 CT sequences from non-infected people. The main highlights of the prototype system are: (1) no data augmentation is needed to accurately discriminate the COVID-19 from normal controls with the specificity of 0.92 and sensitivity of 0.93; (2) the raw DICOM image is not necessary in testing. Highly compressed image like Jpeg can be used to allow a quick diagnosis; and (3) it discriminates the virus infection within 6 seconds and thus allows an online test with light cost. We also applied our model on 48 asymptomatic patients diagnosed with COVID-19. We found that: (1) the positive rate of RT-PCR assay is 63.5% (687/1082). (2) 45.8% (22/48) of the RT-PCR assay is negative for asymptomatic patients, yet the accuracy of CT scans is 95.8%. The online detection system is available: http://212.64.70.65/covid .",2021,10.1007/s12539-020-00408-1,diagnosis,True
Classification of COVID-19 Chest CT Images Based on Ensemble Deep Learning,"Novel coronavirus pneumonia (NCP) has become a global pandemic disease, and computed tomography-based (CT) image analysis and recognition are one of the important tools for clinical diagnosis. In order to assist medical personnel to achieve an efficient and fast diagnosis of patients with new coronavirus pneumonia, this paper proposes an assisted diagnosis algorithm based on ensemble deep learning. The method combines the Stacked Generalization ensemble learning with the VGG16 deep learning to form a cascade classifier, and the information constituting the cascade classifier comes from multiple subsets of the training set, each of which is used to collect deviant information about the generalization behavior of the data set, such that this deviant information fills the cascade classifier. The algorithm was experimentally validated for classifying patients with novel coronavirus pneumonia, patients with common pneumonia (CP), and normal controls, and the algorithm achieved a prediction accuracy of 93.57%, sensitivity of 94.21%, specificity of 93.93%, precision of 89.40%, and F1-score of 91.74% for the three categories. The results show that the method proposed in this paper has good classification performance and can significantly improve the performance of deep neural networks for multicategory prediction tasks.",2021,10.1155/2021/5528441,diagnosis,True
Classification of COVID-19 chest X-Ray and CT images using a type of dynamic CNN modification method,"Understanding and classifying Chest X-Ray (CXR) and computerised tomography (CT) images are of great significance for COVID-19 diagnosis. The existing research on the classification for COVID-19 cases faces the challenges of data imbalance, insufficient generalisability, the lack of comparative study, etc. To address these problems, this paper proposes a type of modified MobileNet to classify COVID-19 CXR images and a modified ResNet architecture for CT image classification. In particular, a modification method of convolutional neural networks (CNN) is designed to solve the gradient vanishing problem and improve the classification performance through dynamically combining features in different layers of a CNN. The modified MobileNet is applied to the classification of COVID-19, Tuberculosis, viral pneumonia (with the exception of COVID-19), bacterial pneumonia and normal controls using CXR images. Also, the proposed modified ResNet is used for the classification of COVID-19, non-COVID-19 infections and normal controls using CT images. The results show that the proposed methods achieve 99.6% test accuracy on the five-category CXR image dataset and 99.3% test accuracy on the CT image dataset. Six advanced CNN architectures and two specific COVID-19 detection models, i.e., COVID-Net and COVIDNet-CT are used in comparative studies. Two benchmark datasets and a CXR image dataset which combines eight different CXR image sources are employed to evaluate the performance of the above models. The results show that the proposed methods outperform the comparative models in classification accuracy, sensitivity, and precision, which demonstrate their potential in computer-aided diagnosis for healthcare applications.",2021,10.1016/j.compbiomed.2021.104425,diagnosis,True
Classification of COVID-19 patients from chest CT images using multi-objective differential evolution-based convolutional neural networks,"Early classification of 2019 novel coronavirus disease (COVID-19) is essential for disease cure and control. Compared with reverse-transcription polymerase chain reaction (RT-PCR), chest computed tomography (CT) imaging may be a significantly more trustworthy, useful, and rapid technique to classify and evaluate COVID-19, specifically in the epidemic region. Almost all hospitals have CT imaging machines; therefore, the chest CT images can be utilized for early classification of COVID-19 patients. However, the chest CT-based COVID-19 classification involves a radiology expert and considerable time, which is valuable when COVID-19 infection is growing at rapid rate. Therefore, an automated analysis of chest CT images is desirable to save the medical professionals' precious time. In this paper, a convolutional neural networks (CNN) is used to classify the COVID-19-infected patients as infected (+ve) or not (-ve). Additionally, the initial parameters of CNN are tuned using multi-objective differential evolution (MODE). Extensive experiments are performed by considering the proposed and the competitive machine learning techniques on the chest CT images. Extensive analysis shows that the proposed model can classify the chest CT images at a good accuracy rate.",2020,10.1007/s10096-020-03901-z,diagnosis,True
Classification of early stage non-small cell lung cancers on computed tomographic images into histological types using radiomic features: interobserver delineation variability analysis,"Radiomics, which involves the extraction of large numbers of quantitative features from medical images, has attracted attention in cancer research. In radiomics analysis, tumor segmentation is a crucial step. In this study, we evaluated the potential application of radiomics for predicting the histology of early stage non-small cell lung cancer (NSCLC) by analyzing interobserver variability in tumor delineation. Forty patient datasets were included in this study, 21 involving adenocarcinomas and 19 involving squamous cell carcinomas. All patients underwent stereotactic body radiotherapy treatment. In total, 476 features were extracted from each dataset, representing treatment planning, computed tomography images, and gross tumor volume (GTV). The definition of GTV can significantly affect the histology prediction. Therefore, in the present study, the effect of interobserver tumor delineation variability on radiomic features was evaluated by preparing 4 volumes of interest (VOIs) for each patient, as follows: the original GTV (which was delineated at treatment planning); two GTVs delineated retrospectively by radiation oncologists; and a semi-automatic GTV contoured by a medical physicist. Radiomic features extracted from each VOI were then analyzed using a naïve Bayesian model. Area-under-the-curve (AUC) analysis showed that interobserver variability in delineation is a significant factor in radiomics performance. Nevertheless, with 8 selected features, AUC values averaged over the VOIs were high (0.725 ± 0.070). The present study indicated that radiomics has potential for predicting early stage NSCLC histology despite variability in delineation. The high prediction accuracy implies that noninvasive histology evaluation by radiomics is a promising clinical application.",2018,10.1007/s12194-017-0433-2,diagnosis,True
Classification of lung nodules based on CT images using squeeze-and-excitation network and aggregated residual transformations,"Lung cancer is pointed as a leading cause of cancer death worldwide. Early lung nodule diagnosis has great significance for treating lung cancer and increasing patient survival. In this paper, we present a novel method to classify the malignant from benign lung nodules based on CT images using squeeze-and-excitation network and aggregated residual transformations (SE-ResNeXt). The state-of-the-art SE-ResNeXt module, which integrates the advantages of SENet for feature recalibration and ResNeXt for feature reuse, has great ability in boosting feature discriminability on imaging pattern recognition. The method is evaluated on the public available LUng Nodule Analysis 2016 (LUNA16) database with 1004 (450 malignant and 554 benign) nodules, achieving an area under the receiver operating characteristic curve (AUC) of 0. 9563 and accuracy of 91.67%. The promising results demonstrate that our method has strong robustness in the classification of nodules. The method has the potential to help radiologists better interpret diagnostic data and differentiate the benign from malignant lung nodules on CT images in clinical practice. To our best knowledge, the effectiveness of SE-ResNeXt on lung nodule classification has not been extensively explored.",2020,10.1007/s11547-019-01130-9,diagnosis,True
Classification of Lung Nodules Based on Deep Residual Networks and Migration Learning,"The classification process of lung nodule detection in a traditional computer-aided detection (CAD) system is complex, and the classification result is heavily dependent on the performance of each step in lung nodule detection, causing low classification accuracy and high false positive rate. In order to alleviate these issues, a lung nodule classification method based on a deep residual network is proposed. Abandoning traditional image processing methods and taking the 50-layer ResNet network structure as the initial model, the deep residual network is constructed by combining residual learning and migration learning. The proposed approach is verified by conducting experiments on the lung computed tomography (CT) images from the publicly available LIDC-IDRI database. An average accuracy of 98.23% and a false positive rate of 1.65% are obtained based on the ten-fold cross-validation method. Compared with the conventional support vector machine (SVM)-based CAD system, the accuracy of our method improved by 9.96% and the false positive rate decreased by 6.95%, while the accuracy improved by 1.75% and 2.42%, respectively, and the false positive rate decreased by 2.07% and 2.22%, respectively, in contrast to the VGG19 model and InceptionV3 convolutional neural networks. The experimental results demonstrate the effectiveness of our proposed method in lung nodule classification for CT images.",2020,10.1155/2020/8975078,diagnosis,True
